accession	study	object_status	bioproject_accession	biosample_accession	sample_name	filename	filename2	title	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype
SRR13739678	SRP307019	new	PRJNA695570	SAMN17618564	M0656_1F_1A	M0656-1F-1A_pair1.fastq.gz	M0656-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 656, timepoint 1	M0656_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739677	SRP307019	new	PRJNA695570	SAMN17618565	C0661_1F_1A	C0661-1F-1A_pair1.fastq.gz	C0661-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 661, timepoint 1	C0661_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739676	SRP307019	new	PRJNA695570	SAMN17618566	C0620_1F_1A	C0620-1F-1A_pair1.fastq.gz	C0620-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 620, timepoint 1	C0620_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739675	SRP307019	new	PRJNA695570	SAMN17618567	C0639_1F_1A	C0639-1F-1A_pair1.fastq.gz	C0639-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 639, timepoint 1	C0639_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739673	SRP307019	new	PRJNA695570	SAMN17618568	M0663_1F_1A	M0663-1F-1A_pair1.fastq.gz	M0663-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 663, timepoint 1	M0663_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739672	SRP307019	new	PRJNA695570	SAMN17618569	C0637_1F_1A	C0637-1F-1A_pair1.fastq.gz	C0637-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 637, timepoint 1	C0637_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739671	SRP307019	new	PRJNA695570	SAMN17618570	M0662_1F_1A	M0662-1F-1A_pair1.fastq.gz	M0662-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 662, timepoint 1	M0662_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739670	SRP307019	new	PRJNA695570	SAMN17618571	C0142_6F_1A	C0142-6F-1A_pair1.fastq.gz	C0142-6F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 142, timepoint 6	C0142_6F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739669	SRP307019	new	PRJNA695570	SAMN17618572	C0624_1F_1A	C0624-1F-1A_pair1.fastq.gz	C0624-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 624, timepoint 1	C0624_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739668	SRP307019	new	PRJNA695570	SAMN17618573	C0660_1F_1A	C0660-1F-1A_pair1.fastq.gz	C0660-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 660, timepoint 1	C0660_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739667	SRP307019	new	PRJNA695570	SAMN17618574	C0665_1F_1A	C0665-1F-1A_pair1.fastq.gz	C0665-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 665, timepoint 1	C0665_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739666	SRP307019	new	PRJNA695570	SAMN17618575	M0649_1F_1A	M0649-1F-1A_pair1.fastq.gz	M0649-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 649, timepoint 1	M0649_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739665	SRP307019	new	PRJNA695570	SAMN17618576	C0683_1F_1A	C0683-1F-1A_pair1.fastq.gz	C0683-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 683, timepoint 1	C0683_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739664	SRP307019	new	PRJNA695570	SAMN17618577	C0686_1F_1A	C0686-1F-1A_pair1.fastq.gz	C0686-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 686, timepoint 1	C0686_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739662	SRP307019	new	PRJNA695570	SAMN17618578	M0647_2F_1A	M0647-2F-1A_pair1.fastq.gz	M0647-2F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 647, timepoint 2	M0647_2F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739661	SRP307019	new	PRJNA695570	SAMN17618579	C0107_4F_1A	C0107-4F-1A_pair1.fastq.gz	C0107-4F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 107, timepoint 4	C0107_4F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739636	SRP307019	new	PRJNA695570	SAMN17618580	M0685_1F_1A	M0685-1F-1A_pair1.fastq.gz	M0685-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 685, timepoint 1	M0685_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739635	SRP307019	new	PRJNA695570	SAMN17618581	M0644_2F_1A	M0644-2F-1A_pair1.fastq.gz	M0644-2F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 644, timepoint 2	M0644_2F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739634	SRP307019	new	PRJNA695570	SAMN17618582	C0106_6F_1A	C0106-6F-1A_pair1.fastq.gz	C0106-6F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 106, timepoint 6	C0106_6F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739633	SRP307019	new	PRJNA695570	SAMN17618583	C0193_3F_1A	C0193-3F-1A_pair1.fastq.gz	C0193-3F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 193, timepoint 3	C0193_3F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739632	SRP307019	new	PRJNA695570	SAMN17618584	C0673_1F_1A	C0673-1F-1A_pair1.fastq.gz	C0673-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 673, timepoint 1	C0673_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739631	SRP307019	new	PRJNA695570	SAMN17618585	M0676_1F_1A	M0676-1F-1A_pair1.fastq.gz	M0676-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 676, timepoint 1	M0676_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739630	SRP307019	new	PRJNA695570	SAMN17618586	C0704_1F_1A	C0704-1F-1A_pair1.fastq.gz	C0704-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 704, timepoint 1	C0704_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739629	SRP307019	new	PRJNA695570	SAMN17618587	C0202_6F_1A	C0202-6F-1A_pair1.fastq.gz	C0202-6F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 202, timepoint 6	C0202_6F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739627	SRP307019	new	PRJNA695570	SAMN17618588	M0652_2F_1A	M0652-2F-1A_pair1.fastq.gz	M0652-2F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 652, timepoint 2	M0652_2F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739626	SRP307019	new	PRJNA695570	SAMN17618589	M0682_1F_1A	M0682-1F-1A_pair1.fastq.gz	M0682-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 682, timepoint 1	M0682_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739625	SRP307019	new	PRJNA695570	SAMN17618590	M0703_1F_1A	M0703-1F-1A_pair1.fastq.gz	M0703-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 703, timepoint 1	M0703_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739624	SRP307019	new	PRJNA695570	SAMN17618591	C0688_1F_1A	C0688-1F-1A_pair1.fastq.gz	C0688-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 688, timepoint 1	C0688_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739623	SRP307019	new	PRJNA695570	SAMN17618592	C0679_1F_1A	C0679-1F-1A_pair1.fastq.gz	C0679-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 679, timepoint 1	C0679_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739622	SRP307019	new	PRJNA695570	SAMN17618593	M0699_1F_1A	M0699-1F-1A_pair1.fastq.gz	M0699-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 699, timepoint 1	M0699_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739621	SRP307019	new	PRJNA695570	SAMN17618594	C0698_1F_1A	C0698-1F-1A_pair1.fastq.gz	C0698-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 698, timepoint 1	C0698_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739620	SRP307019	new	PRJNA695570	SAMN17618595	C0237_4F_1A	C0237-4F-1A_pair1.fastq.gz	C0237-4F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 237, timepoint 4	C0237_4F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739619	SRP307019	new	PRJNA695570	SAMN17618596	M0674_1F_1A	M0674-1F-1A_pair1.fastq.gz	M0674-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 674, timepoint 1	M0674_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739618	SRP307019	new	PRJNA695570	SAMN17618597	C0694_1F_1A	C0694-1F-1A_pair1.fastq.gz	C0694-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 694, timepoint 1	C0694_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739616	SRP307019	new	PRJNA695570	SAMN17618598	M0705_1F_1A	M0705-1F-1A_pair1.fastq.gz	M0705-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 705, timepoint 1	M0705_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739615	SRP307019	new	PRJNA695570	SAMN17618599	M0709_1F_1A	M0709-1F-1A_pair1.fastq.gz	M0709-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 709, timepoint 1	M0709_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739614	SRP307019	new	PRJNA695570	SAMN17618600	M0714_1F_1A	M0714-1F-1A_pair1.fastq.gz	M0714-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 714, timepoint 1	M0714_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739613	SRP307019	new	PRJNA695570	SAMN17618601	M0662_2F_1A	M0662-2F-1A_pair1.fastq.gz	M0662-2F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 662, timepoint 2	M0662_2F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739564	SRP307019	new	PRJNA695570	SAMN17618602	C0123_3F_1A	C0123-3F-1A_pair1.fastq.gz	C0123-3F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 123, timepoint 3	C0123_3F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739563	SRP307019	new	PRJNA695570	SAMN17618603	C0623_1F_1A	C0623-1F-1A_pair1.fastq.gz	C0623-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 623, timepoint 1	C0623_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739562	SRP307019	new	PRJNA695570	SAMN17618604	M0680_2F_1A	M0680-2F-1A_pair1.fastq.gz	M0680-2F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 680, timepoint 2	M0680_2F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739561	SRP307019	new	PRJNA695570	SAMN17618605	M0711_1F_1A	M0711-1F-1A_pair1.fastq.gz	M0711-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 711, timepoint 1	M0711_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739560	SRP307019	new	PRJNA695570	SAMN17618606	M0713_1F_1A	M0713-1F-1A_pair1.fastq.gz	M0713-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 713, timepoint 1	M0713_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739559	SRP307019	new	PRJNA695570	SAMN17618607	C2014_2F_1A	C2014-2F-1A_pair1.fastq.gz	C2014-2F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 2014, timepoint 2	C2014_2F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739557	SRP307019	new	PRJNA695570	SAMN17618608	M0716_1F_1A	M0716-1F-1A_pair1.fastq.gz	M0716-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 716, timepoint 1	M0716_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739556	SRP307019	new	PRJNA695570	SAMN17618609	M0718_1F_1A	M0718-1F-1A_pair1.fastq.gz	M0718-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 718, timepoint 1	M0718_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739555	SRP307019	new	PRJNA695570	SAMN17618610	C0730_1F_1A	C0730-1F-1A_pair1.fastq.gz	C0730-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 730, timepoint 1	C0730_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739554	SRP307019	new	PRJNA695570	SAMN17618611	C0058_4F_1A	C0058-4F-1A_pair1.fastq.gz	C0058-4F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 58, timepoint 4	C0058_4F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739553	SRP307019	new	PRJNA695570	SAMN17618612	M0656_2F_1A	M0656-2F-1A_pair1.fastq.gz	M0656-2F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 656, timepoint 2	M0656_2F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739552	SRP307019	new	PRJNA695570	SAMN17618613	M0723_1F_1A	M0723-1F-1A_pair1.fastq.gz	M0723-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 723, timepoint 1	M0723_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739551	SRP307019	new	PRJNA695570	SAMN17618614	M0685_2F_1A	M0685-2F-1A_pair1.fastq.gz	M0685-2F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 685, timepoint 2	M0685_2F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
